device_id,location_name,district,latitude,longitude
airqo_g5564,Busabala Makindye,Kampala,0.2182,32.6176
aq_72,Luwafu Makindye,Kampala,0.2689,32.5880
aq_43,Lukuli Makindye,Kampala,0.28904,32.58958
aq_g520,Mbogo Road Wabigalo,Kampala,0.30991,32.60045
aq_g5_97,Mbuya II Nakawa,Kampala,0.325346,32.632288
aq_g5_46,Ggaba Bypass Makindye,Kampala,0.25776,32.63686
airqo_g5438,Salaama Rd Makindye,Kampala,0.258119,32.609112
aq_g5_53,Kansanga Makindye,Kampala,0.28863,32.60297
aq_g5_48,Kabalagala Makindye,Kampala,0.29833,32.60074
aq_g5_43,Katwe 1 Makindye,Kampala,0.30047,32.5794
airqo_g5548,Nadiope Rd Mbuya Nakawa,Kampala,0.323201,32.631972
airqo_g5567,Old Kira Rd Kamwokya,Kampala,0.346826,32.589047
airqo_g5563,Bulange Rubaga,Kampala,0.311874,32.562351
airqo_g5449,Forest Village Muyenga,Kampala,0.287828,32.624583
airqo_g5446,Kitintale Nakawa,Kampala,0.315679,32.635063
